source1domefareceiver2domelabformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.083,0.048,0.019,0.014,0.01,0.014,0.142,0.026,0.67
T30 [s],,0.068,0.043,0.074,0.056,0.008,0.012,0.079,0.059,0.707
T60,,0.0755,0.0455,0.0465,0.035,0.009,0.013,0.1105,0.0425,0.6885
STI male,,0.97 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver1domefabformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.103,0.047,0.051,0.001,0.036,0.041,0.055,0.052,0.687
T30 [s],,0.12,0.072,0.57,0.268,0.179,0.034,0.283,0.31,0.702
T60,,0.1115,0.0595,0.3105,0.1345,0.1075,0.0375,0.169,0.181,0.6945
STI male,,0.96 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver2domelabformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.289,0.09,0.075,0.111,0.108,0.139,0.111,0.162,0.463
T30 [s],,0.133,0.065,0.057,0.066,0.068,0.071,0.105,0.156,0.649
T60,,0.211,0.0775,0.066,0.0885,0.088,0.105,0.108,0.159,0.556
STI male,,0.97 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver2domelabformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.229,0.185,0.105,0.159,0.144,0.111,0.082,0.12,0.394
T30 [s],,0.232,0.209,0.192,0.174,0.134,0.107,0.075,0.057,0.533
T60,,0.2305,0.197,0.1485,0.1665,0.139,0.109,0.0785,0.0885,0.4635
STI male,,0.94 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver3domesibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.293,0.197,0.231,0.153,0.171,0.14,0.208,0.085,0.203
T30 [s],,0.249,0.132,0.192,0.162,0.152,0.124,0.106,0.08,0.397
T60,,0.271,0.1645,0.2115,0.1575,0.1615,0.132,0.157,0.0825,0.3
STI male,,0.90 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver3domesibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.312,0.196,0.255,0.225,0.206,0.127,0.139,0.078,0.673
T30 [s],,0.257,0.222,0.237,0.209,0.155,0.12,0.128,0.088,0.758
T60,,0.2845,0.209,0.246,0.217,0.1805,0.1235,0.1335,0.083,0.7155
STI male,,0.89 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver5domemibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.094,0.091,0.122,0.144,0.159,0.118,0.082,0.049,0.665
T30 [s],,0.219,0.218,0.107,0.127,0.093,0.084,0.081,0.049,0.724
T60,,0.1565,0.1545,0.1145,0.1355,0.126,0.101,0.0815,0.049,0.6945
STI male,,0.93 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver5domemibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.259,0.158,0.396,0.235,0.173,0.198,0.172,0.143,0.183
